date,judgement
2013-05-25,good
2013-05-26,good
2013-05-27,good
2013-05-28,good
2013-05-29,neutral
2013-05-30,good
2013-05-31,good
2013-06-01,good
2013-06-02,neutral
2013-06-03,neutral
2013-06-04,neutral
2013-06-05,good
2013-06-06,good
2013-06-07,neutral
2013-06-08,neutral
2013-06-09,neutral
2013-06-10,good
2013-06-11,neutral
2013-06-12,bad
2013-06-13,good
2013-06-14,neutral
2013-06-15,neutral
2013-06-16,neutral
2013-06-17,good
2013-06-18,bad
2013-06-19,neutral
2013-06-20,good
2013-06-21,good
2013-06-22,neutral
2013-07-05,neutral
2013-07-06,neutral
2013-07-07,neutral
2013-07-26,neutral
2013-07-27,neutral
2013-07-28,good
2013-07-29,good
2013-07-30,good
2013-07-31,good
2013-08-01,neutral
2013-08-02,bad
2013-08-03,bad
2013-08-04,good
2013-08-05,good
2013-08-06,neutral
2013-08-07,neutral
2013-08-08,good
2013-08-09,good
2013-08-10,bad
2013-08-11,neutral
2013-08-12,good
2013-08-13,good
2013-08-14,neutral
2013-08-15,neutral
2013-08-16,good
2013-08-17,bad
2013-08-19,bad
2013-08-20,neutral
2013-08-21,neutral
2013-08-22,good
2013-08-23,neutral
2013-08-24,neutral
2013-08-25,neutral
2013-08-26,neutral
2013-08-27,neutral
2013-08-28,neutral
2013-08-29,good
2013-08-30,neutral
2013-08-31,bad
2013-09-01,bad
2013-09-02,good
2013-09-03,neutral
2013-09-04,good
2013-09-05,neutral
2013-09-06,good
2013-09-07,neutral
2013-09-08,bad
2013-09-09,good
2013-09-10,good
2013-09-11,good
2013-09-12,neutral
2013-09-13,good
2013-09-14,good
2013-09-15,neutral
2013-09-16,neutral
2013-09-17,good
2013-09-18,neutral
2013-09-19,bad
2013-09-20,bad
2013-09-22,bad
2013-09-23,neutral
2013-09-24,neutral
2013-09-25,good
2013-09-26,neutral
2013-09-27,good
2013-09-28,good
2013-09-29,good
2013-09-30,bad
2013-10-01,neutral
2013-10-02,good
2013-10-03,good
2013-10-04,good
2013-10-05,bad
2013-10-06,bad
2013-10-07,bad
2013-10-08,neutral
2013-10-09,good
2013-10-10,good
2013-10-11,good
2013-10-12,neutral
2013-10-13,neutral
